table	lua_name	cpp_symbol	cpp_class	family	shape	nresults	impl_va	thunk_va	stub_va	vtable_va	s_name_slot	stanza_va
Actor	ExitSpecialKillMode	PlayerKillModeCancel		LuaGlueFunctor0	inlined	1	007163c0	007163c0	007163e0	00fdeb70	0142d93c	0070eebd
Actor	FireCurrentWeapon	FireCurrentWeapon		LuaGlueFunctor0	adapter	1	00710d70	00716db0	00717500	00fdea08	0142d888	0070dff9
Actor	ForceLongIdle	ForceLongIdle		LuaGlueFunctor0	adapter	1	00714840	00717080	007176b0	00fdeaf8	0142d900	0070e9d1
Actor	ForceSmoking	ForceSmoking		LuaGlueFunctor0	adapter	1	007149b0	007170a0	007176c0	00fdeb08	0142d908	0070ea79
Actor	GetActorDist	GetActorDist		LuaGlueFunctor0R	jmp	eax	00710750	00716d80	007174d0	00fde9f0	0142d87c	0070defd
Actor	GetCurrentModule	GetCurrentModule		LuaGlueFunctor0R	jmp	eax	0070f420	00716870	007171e0	00fde818	0142d790	0070cba1
Actor	GetFacingDir	GetFacingDir		LuaGlueFunctor0R	jmp	eax	00710300	00716d50	007174b0	00fde9e0	0142d874	0070de55
Actor	GetModuleInputs	GetModuleInputs		LuaGlueFunctor0R	inlined	1	00716920	00716920	00717260	00fde858	0142d7b0	0070ce41
Actor	GetPosition	ActorGetPosition		LuaGlueFunctor0R	jmp	eax	00710990	00716da0	007174f0	00fdea00	0142d884	0070dfa5
Actor	GetPredefinedModule	GetPredefinedModule		LuaGlueFunctor0R	inlined	1	00716890	00716890	00717200	00fde828	0142d798	0070cc49
Actor	GetSelf	GetSelf		LuaGlueFunctor0R	jmp	eax	007126c0	00716910	00717250	00fde850	0142d7ac	0070cded
Actor	GetVehicle	GetVehicle		LuaGlueFunctor0R	jmp	eax	00711ff0	00716f00	007175c0	00fdea70	0142d8bc	0070e43d
Actor	GetWeaponPitch	GetWeaponPitch		LuaGlueFunctor0R	jmp	eax	00710e50	00716dd0	00717510	00fdea10	0142d88c	0070e04d
Actor	GlobalEnableHighWTFCivMelee	GlobalEnableHighWTFCivMelee		LuaGlueFunctor0	adapter	1	0070c830	00716600	00716790	00fdeb38	0142d920	0070ec71
Actor	HasLabel	HasLabel		LuaGlueFunctor0R	jmp	eax	007125e0	00716900	00717240	00fde848	0142d7a8	0070cd99
Actor	HasUseableDisguise	ActorHasUseableDisguise		LuaGlueFunctor0R	jmp	eax	00712b60	00717010	00717670	00fdead0	0142d8ec	0070e82d
Actor	HolsterWeaponImmediate	HolsterWeaponImmediate		LuaGlueFunctor0	adapter	1	00714a60	00717100	007176f0	00fdeb28	0142d918	0070ebc9
Actor	Immolate	Immolate		LuaGlueFunctor0	adapter	1	00713bf0	00716a00	00717300	00fde8e8	0142d7f8	0070d429
Actor	IsAShop	IsAShop		LuaGlueFunctor0R	jmp	eax	00713050	00716990	007172b0	00fde8c0	0142d7e4	0070d285
Actor	IsAlive	ActorIsAlive		LuaGlueFunctor0R	jmp	eax	00713620	007169f0	007172f0	00fde8e0	0142d7f4	0070d3d5
Actor	IsDisguisable	IsDisguisable		LuaGlueFunctor0R	jmp	eax	00715060	00717140	00717710	00fdeb40	0142d924	0070ecc5
Actor	IsDisguised	ActorIsDisguised		LuaGlueFunctor0R	jmp	eax	0070c6a0	007165b0	00716760	00fdeac8	0142d8e8	0070e7d9
Actor	IsInCombat	IsInCombat		LuaGlueFunctor0R	jmp	eax	00713990	00716fa0	00717630	00fdeaa8	0142d8d8	0070e689
Actor	IsInHunt	IsInHunt		LuaGlueFunctor0R	jmp	eax	007138b0	00716f90	00717620	00fdeaa0	0142d8d4	0070e635
Actor	IsInIdle	IsInIdle		LuaGlueFunctor0R	jmp	eax	007136f0	00716f70	00717600	00fdea90	0142d8cc	0070e58d
Actor	IsInInvestigate	IsInInvestigate		LuaGlueFunctor0R	jmp	eax	007137d0	00716f80	00717610	00fdea98	0142d8d0	0070e5e1
Actor	IsInVehicle	IsInVehicle		LuaGlueFunctor0R	jmp	eax	00711ed0	00716ef0	007175b0	00fdea60	0142d8b4	0070e395
Actor	IsRagdollInWater	IsRagdollInWater		LuaGlueFunctor0R	jmp	eax	0070c300	007165a0	00716750	00fdea68	0142d8b8	0070e3e9
Actor	IsSlacker	IsSlacker		LuaGlueFunctor0R	jmp	eax	00712f80	00716980	007172a0	00fde8b8	0142d7e0	0070d231
Actor	IsTalkable	IsTalkable		LuaGlueFunctor0R	jmp	eax	007133b0	007169c0	007172d0	00fde8d0	0142d7ec	0070d32d
Actor	IsUsingAttrPt	IsUsingAttrPt		LuaGlueFunctor0R	jmp	eax	00711920	00716e60	00717560	00fdea38	0142d8a0	0070e1f1
Actor	OverrideCombatAI	OverrideCombatAI		LuaGlueFunctor0	adapter	1	00714090	00716ae0	00717370	00fde920	0142d814	0070d675
Actor	PlayAnimation	PlayAnimation		LuaGlueFunctor0	adapter	1	0070f4f0	00716c00	00717400	00fde968	0142d838	0070d969
Actor	PlayAnimationToBone	PlayAnimationToBone		LuaGlueFunctor0	adapter	1	0070fa40	00716c20	00717410	00fde970	0142d83c	0070d9bd
Actor	PlayAnimationToPoint	PlayAnimationToPoint		LuaGlueFunctor0	adapter	1	0070fe00	00716c40	00717420	00fde978	0142d840	0070da11
