pc_va	name	source	method
0x55fc76	WSHumanStateOnGround::ExitSmoking	single-A	assert-string
0x560c90	WSHumanStateOnGround::UpdateSmokingTimer	both	assert
0x561ba0	WSHumanStateOnGround::UpdateBarehandState	both	assert
0x56ae80	WSHumanStatePassenger::SetupGetInGetIn	both	assert
0x56d2c0	WSHumanStatePassenger::SetupGetInState	both	assert
0x56dda0	WSHumanStatePassenger::SetupHijackReaction	both	assert
0x56f756	WSHumanStatePassenger::FinishGetOut	single-A	assert-string
0x56f9e0	WSHumanStatePassenger::FinishBail	single-A	assert-string
0x56fca0	WSHumanStatePassenger::FinishFallingOff	both	assert
0x570020	WSHumanStatePassenger::FinishEject	both	assert
0x5701c0	WSHumanStatePassenger::FinishHijacked	single-A	assert-string
0x5708c0	WSHumanStatePassenger::FinishSeatClearing	single-A	assert-string
0x573ef0	WSHumanStatePickup::WSHumanStatePickup	both	assert
0x574ba0	WSHumanStatePushed::Init	single-A	assert-string
0x577490	WSHumanStateRagdoll::TestCollisionWithOthers	both	assert
0x579b27	WSHumanStateStumble::WSHumanStateStumble	single-A	assert-string
0x584fa0	WSHumanPhysics::objectInteractionCallback	both	assert
0x586fe0	WSHumanPhysics::DoUpdatePhysics	both	assert
0x588100	WSAllCdPointCollector::DamageHumanOnHuman	both	assert
0x5897e0	WSHumanPhysics::TakeFallDamage	both	assert
0x589bc0	WSHumanPhysics::TakeImpactDamage	both	assert
0x58d6c0	WSInventory::DropAllItems	both	assert
0x58d800	WSFilteredRayCastCallback::~WSFilteredRayCastCallback	both	rtti_exact
0x592b00	hkCollisionListener::contactProcessCallback	both-conflict(base-preferred)	rtti_exact
0x595720	WSAttack::HitHumans	single-A	assert-string
0x5a2200	WSControllerInputJoystick::Clear	both	rtti_exact
0x5a25b0	WSControllerInput::Clear	both	rtti_exact
0x5a5ba0	WSSpecialKill::_KillDierker	both	assert
0x5a8f40	WSPlayerShedSuspicionAction::Execute	both	assert
0x5a9fe0	WSPlayer::ResurrectMe	both	assert
0x5af2e0	WSPlayer::ApplyDamage	single-A	assert-string
0x5b5840	WSPlayer::LoadData	both	assert
0x5b9a20	WSPlayer::IsWaitingForSaveLoadVehicle	single-A	assert-string
0x5bb230	WSSpecialKill::EnterState	both	assert
0x5c2200	WSCameraSet::`vector deleting dtor'	both	rtti_exact
0x5c30e0	WSControllerInputJoystick::GetType	both	rtti_exact
0x5cd1f0	WSVehicle::StartFireEmitter	both	assert
0x5cd8c7	WSVehicle::~WSVehicle	both	assert
0x5ceed0	WSVehicle::ApplyDamageAIReactions	both	assert
0x5dbf90	WSGunnerSeatConstrainFunction::CommandFuncCallback	both	rtti_exact
0x5dbfb0	WSGunnerSeatVelocityUpdateFunction::CommandFuncCallback	both	rtti_exact
0x5e0b60	WSGunnerSeatSetGroupFunction::CommandFuncCallback	both	rtti_exact
0x5e6ff0	WSSearcherSeatConstrainFunction::CommandFuncCallback	both	rtti_exact
0x5e8c40	WSSearcherSeatSetGroupFunction::CommandFuncCallback	both	rtti_exact
0x5f9920	hkUnaryAction::entityRemovedCallback	both-conflict(base-preferred)	rtti_exact
0x5f9930	WSWaterAction::_UpdateBuoy	both	rtti_exact
0x5faf30	WSPhysicsVehicleBlueprint::PreLoad	both	rtti_exact
0x5fc4d0	WSPhysicsVehicleBlueprint::SetProperty	both	rtti_exact
0x609bf0	WSPhysicsVehicleWheelBlueprint::~WSPhysicsVehicleWheelBlueprint	both	rtti_exact
0x609c60	WSPhysicsVehicleWheel::~WSPhysicsVehicleWheel	both	rtti_exact
0x60a840	WSPhysicsVehicleBlueprint::~WSPhysicsVehicleBlueprint	both	rtti_exact
0x60c210	WSGhostOfDeath::ApplyRagdollIfRelevant	both	assert
0x60f350	WSVirVehicle::`vector deleting dtor'	both	rtti_exact
0x60f6d0	?$WSFactory@VWSVirVehicleBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x615160	WSVirVehicleChassis::`scalar deleting dtor'	both	rtti_exact
0x615510	?$WSFactory@VWSVirVehicleChassisBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x616380	?$WSFactory@VWSVirVehicleEngineBlueprint@@::`vector deleting dtor'	both	rtti_exact
